fare_amount,fare_class,passenger_count,distance_in_kms,Weekday_name,Hour,Month_Day
6.5,0,1,2.13,1,8,19
6.9,0,1,1.39,5,15,17
10.1,1,2,3.33,5,11,17
8.9,0,1,1.86,2,21,11
19.7,1,1,7.23,5,2,17
8.1,0,1,1.96,6,8,22
4.9,0,1,1.04,7,19,23
4.9,0,1,1.09,6,9,15
2.9,0,1,0.15,3,8,20
6.1,0,1,1.11,7,18,16
7.3,0,1,2.29,6,22,22
3.7,0,1,0.66,6,17,15
17.3,1,1,6.16,7,12,23
4.1,0,1,0.7,2,2,18
6.9,0,2,1.71,4,10,21
9.3,0,1,4.4,3,23,20
14.1,1,2,4.76,6,21,15
5.7,0,1,0.88,6,8,15
2.9,0,1,0.47,4,23,14
3.7,0,5,0.97,4,1,14
36.0,1,1,9.43,3,11,20
11.3,1,1,5.31,1,9,12
4.9,0,1,0.86,3,13,13
14.5,1,2,6.22,3,16,20
4.9,0,1,1.11,4,14,21
4.5,0,1,1.6,5,9,24
7.3,0,1,2.35,2,21,11
36.19,1,1,19.9,6,23,22
8.5,0,2,1.94,7,19,23
3.7,0,2,0.47,3,22,20
25.47,1,1,5.46,5,17,17
4.1,0,1,1.14,7,10,23
10.9,1,4,3.26,2,1,18
7.3,0,1,2.41,6,17,22
5.6,0,1,0.46,1,19,12
5.7,0,1,1.67,4,23,14
9.7,0,2,2.44,1,15,12
7.3,0,1,1.93,2,0,25
7.7,0,1,1.9,3,16,13
12.9,1,5,3.66,7,17,23
4.9,0,1,0.77,6,10,22
15.3,1,1,4.04,6,12,15
12.9,1,1,4.54,3,17,20
6.5,0,1,1.81,3,18,20
6.5,0,2,0.56,2,15,18
6.5,0,1,1.68,4,19,14
6.5,0,1,5.76,1,19,19
6.9,0,2,1.47,3,12,20
6.9,0,1,2.91,6,18,22
10.9,1,1,1.18,2,20,11
5.3,0,1,1.53,2,12,11
7.3,0,1,1.04,5,12,24
16.1,1,2,6.83,5,19,17
7.7,0,1,1.71,5,14,24
4.9,0,1,0.68,7,15,23
4.1,0,1,1.02,7,20,23
6.9,0,1,2.62,3,16,13
9.7,0,1,3.29,3,20,13
13.3,1,2,3.58,3,9,20
3.7,0,1,0.53,6,14,15
6.1,0,1,1.64,5,18,17
6.5,0,2,1.51,7,20,16
4.5,0,1,0.61,4,13,14
4.5,0,1,1.29,4,20,14
33.3,1,1,13.46,6,17,15
11.7,1,2,4.85,4,3,21
3.7,0,1,0.94,6,22,22
8.5,0,1,1.6,1,12,19
9.3,0,2,3.0,2,19,11
12.5,1,1,5.68,1,20,19
13.7,1,1,5.15,6,13,15
11.3,1,1,4.23,6,13,15
6.1,0,1,1.79,7,12,23
6.9,0,2,1.83,6,0,15
11.7,1,1,3.97,7,17,16
14.5,1,1,3.76,7,22,16
10.5,1,3,2.75,2,18,11
6.1,0,1,1.56,3,16,20
6.9,0,1,1.78,4,8,14
8.9,0,1,2.7,6,16,15
6.5,0,1,1.48,7,22,16
13.3,1,1,6.83,7,2,23
25.47,1,1,6.98,7,17,23
6.1,0,1,1.47,1,7,12
4.5,0,1,0.81,6,4,22
5.3,0,1,2.25,1,7,19
5.3,0,1,2.21,5,21,17
6.9,0,2,3.55,7,22,16
7.3,0,1,2.48,7,20,16
7.3,0,1,3.25,4,13,14
4.1,0,1,0.85,5,9,17
16.1,1,1,9.87,1,6,19
4.5,0,1,0.97,6,9,22
4.9,0,1,1.06,7,12,23
7.7,0,1,1.26,1,8,12
6.5,0,1,2.36,3,19,20
5.3,0,1,1.68,1,20,12
7.3,0,2,2.22,5,23,24
6.5,0,2,1.29,2,18,11
6.1,0,3,1.74,2,17,18
6.1,0,1,1.86,3,5,20
4.1,0,1,0.96,2,7,18
28.1,1,4,11.26,7,22,16
6.1,0,1,1.58,5,18,17
16.5,1,1,6.25,5,7,17
7.3,0,1,1.41,3,11,13
15.3,1,2,6.55,2,22,11
4.5,0,1,0.79,1,13,12
7.3,0,1,1.9,1,11,12
4.9,0,1,1.66,3,23,20
7.3,0,1,1.87,3,12,13
5.3,0,1,1.67,2,18,11
6.1,0,1,0.93,3,19,20
20.1,1,1,8.04,6,21,22
6.5,0,1,1.08,4,13,21
5.3,0,1,1.3,4,23,21
9.7,0,1,3.2,6,13,22
8.5,0,1,2.78,5,17,24
8.5,0,1,1.68,1,14,12
14.1,1,1,4.81,5,0,17
23.3,1,2,7.03,4,23,14
11.3,1,4,0.57,3,20,13
12.1,1,3,2.09,5,0,17
3.3,0,1,0.83,1,17,19
18.5,1,2,7.94,4,18,14
4.9,0,1,1.22,1,15,19
21.3,1,4,4.99,5,19,24
4.5,0,1,0.96,3,23,20
45.0,1,1,19.86,4,13,14
4.9,0,1,1.4,5,4,24
4.5,0,1,1.29,3,21,20
16.5,1,4,4.37,5,14,24
9.3,0,1,2.42,7,9,23
7.7,0,1,2.24,7,23,23
6.5,0,1,0.02,4,15,14
8.1,0,1,3.19,5,11,17
7.3,0,1,2.71,5,2,24
6.5,0,1,1.54,4,20,21
8.1,0,1,3.3,7,8,16
16.5,1,1,6.81,7,13,16
11.3,1,1,5.14,3,0,13
8.9,0,1,1.96,2,1,18
6.5,0,1,1.95,5,12,17
8.1,0,2,2.03,5,12,17
8.1,0,2,2.49,4,17,14
12.9,1,1,4.58,2,0,18
9.3,0,1,3.43,3,19,13
6.1,0,2,1.11,2,16,11
6.1,0,1,2.16,2,0,18
16.9,1,1,6.48,5,4,17
17.3,1,1,9.17,3,22,13
5.7,0,1,1.09,7,10,16
45.0,1,1,18.54,3,10,13
10.1,1,1,2.12,6,17,15
11.7,1,1,3.87,4,8,14
9.7,0,1,3.25,2,5,18
8.9,0,1,4.43,5,0,24
14.1,1,1,0.64,1,11,12
49.57,1,4,20.1,7,6,23
13.3,1,1,5.22,7,6,16
6.1,0,1,1.56,2,14,18
6.1,0,1,1.97,4,6,21
12.5,1,1,3.92,3,19,20
19.7,1,1,10.54,5,8,17
6.9,0,1,2.77,1,21,12
16.1,1,1,4.73,5,15,17
6.5,0,1,1.27,3,8,13
6.9,0,1,2.48,1,19,12
39.3,1,2,13.27,2,0,25
18.1,1,1,6.74,4,14,14
4.9,0,1,0.72,7,8,16
5.7,0,1,1.37,6,20,15
10.5,1,1,2.88,4,17,21
6.1,0,1,1.37,1,10,19
6.5,0,1,2.43,5,20,24
14.1,1,5,6.92,7,20,23
14.1,1,4,2.0,6,18,22
23.7,1,1,10.54,4,22,14
8.1,0,1,1.17,7,16,23
14.1,1,1,4.36,3,11,20
3.7,0,3,0.36,7,1,16
14.9,1,2,5.47,5,14,17
4.9,0,1,1.16,7,19,23
8.1,0,1,1.26,1,14,19
5.3,0,1,1.21,5,22,24
6.1,0,1,2.72,2,15,11
4.5,0,1,1.09,6,14,22
3.7,0,1,0.76,3,1,13
12.1,1,1,3.22,7,0,16
24.1,1,2,11.47,5,3,24
8.9,0,1,4.16,4,6,21
7.7,0,3,2.25,2,15,11
8.1,0,1,3.12,1,19,19
6.1,0,1,1.29,2,22,11
4.9,0,1,1.39,7,10,16
11.7,1,1,2.96,7,12,16
7.3,0,1,1.97,7,15,23
9.7,0,1,2.42,2,18,11
5.3,0,1,1.06,3,17,13
7.3,0,1,3.1,1,21,19
8.1,0,1,2.13,6,19,15
5.3,0,1,1.6,1,22,19
6.5,0,1,1.8,4,17,21
7.3,0,1,2.03,1,10,19
6.1,0,1,1.61,7,16,16
8.9,0,3,2.56,4,16,21
8.1,0,1,1.5,2,19,18
7.3,0,1,0.74,6,9,22
4.1,0,1,1.03,2,14,18
13.3,1,1,6.37,1,3,19
5.3,0,1,1.09,3,16,13
12.1,1,2,4.44,6,19,15
22.9,1,1,10.0,7,19,16
4.9,0,2,0.57,3,20,20
4.1,0,4,0.86,6,19,22
5.7,0,1,1.34,7,10,16
8.5,0,3,2.56,6,13,15
8.9,0,1,2.02,4,10,21
5.7,0,1,1.13,6,18,15
17.3,1,1,6.86,7,5,23
19.7,1,1,9.68,2,2,18
6.5,0,1,1.38,1,21,19
9.3,0,1,4.04,1,13,19
5.3,0,1,0.57,3,15,20
10.5,1,2,3.41,5,3,17
4.1,0,1,0.8,6,7,22
12.5,1,1,3.18,5,7,24
5.7,0,1,1.77,5,8,17
4.1,0,2,0.75,2,4,11
3.3,0,1,0.65,6,7,22
6.9,0,1,2.13,1,0,12
5.7,0,1,1.59,7,8,23
4.5,0,2,0.87,6,1,15
5.3,0,1,1.51,3,20,20
12.9,1,1,5.71,6,10,22
6.5,0,1,0.9,7,18,16
7.7,0,1,2.1,6,13,15
5.3,0,1,1.19,4,19,21
4.9,0,1,1.31,7,7,23
16.5,1,1,8.06,6,23,15
5.3,0,1,1.83,1,12,12
15.3,1,1,5.67,3,21,13
6.1,0,1,1.7,1,21,12
6.9,0,1,1.79,6,11,22
9.7,0,1,3.99,4,8,14
7.7,0,5,2.25,7,19,23
6.1,0,1,1.12,2,16,11
